,metascore,userscore,year,mean_userscore,action,fighting,first-person,flight,party,puzzle,racing,real-time,role-playing,simulation,sports,strategy,third-person,turn-based,wargame,wrestling,name
1163,80.0,7.7,2013,7.268050276368594,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Fallen Enchantress: Legendary Heroes
1164,66.0,6.504411764705885,2018,6.423721167641541,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Fallen Legion+
1165,66.0,6.9,2018,6.423721167641541,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Fallen Legion: Rise to Glory
1166,64.0,8.2,2017,6.168317201562236,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Fallen Legion: Sins of an Empire
1167,86.33333333333333,6.2,2015,7.564016830974814,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Fallout 4
1168,78.0,5.1,2017,7.042202473015331,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Fallout 4 VR
1169,70.0,5.733333333333334,2016,6.614861857091424,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Fallout 4: Automatron
1170,77.33333333333333,6.5,2016,7.045761364022511,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Fallout 4: Far Harbor
1171,69.0,5.6,2016,6.475528576857677,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Fallout 4: Nuka-World
1172,51.333333333333336,2.9666666666666663,2018,5.389247704214004,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Fallout 76
1173,77.0,7.5,2014,7.026298391494004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fantasia: Music Evolved
1174,81.0,7.7,2019,7.311510194404932,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Fantasy General II
1175,46.5,4.9302631578947365,2016,5.037300792742727,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Fantasy Hero: Unsigned Legacy
1176,73.0,8.4,2014,6.674957745178337,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Fantasy Life
1177,75.0,7.8,2019,6.911874548345132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fantasy Strike
1178,81.0,8.233333333333333,2013,7.295944159790377,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Far Cry 3: Blood Dragon
1179,82.33333333333333,7.366666666666667,2014,7.366285832077935,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Far Cry 4
1180,56.0,5.8,2015,5.646022727272729,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Far Cry 4: Escape from Durgesh Prison
1181,75.0,7.1,2015,6.881815239773433,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Far Cry 4: Valley of the Yetis
1182,80.33333333333333,6.533333333333334,2018,7.220661558672622,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Far Cry 5
1183,72.0,4.0,2018,6.72193452683688,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Far Cry 5: Hours of Darkness
1184,59.0,4.6,2018,5.729306976548356,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Far Cry 5: Lost on Mars
1185,73.0,3.633333333333333,2019,6.735971473042447,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Far Cry New Dawn
1186,75.66666666666667,6.1000000000000005,2016,6.929976290346957,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Far Cry Primal
1187,36.5,4.55,2013,4.919230769230769,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Farming Simulator
1188,59.0,6.5,2014,5.829067691690208,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Farming Simulator 15
1189,67.66666666666667,7.6000000000000005,2016,6.529214400135537,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Farming Simulator 17
1190,68.5,5.85,2018,6.421637473370287,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Farming Simulator 19
1191,73.0,7.0,2017,6.674957745178337,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Farming Simulator: Nintendo Switch Edition
1192,71.0,8.1,2017,6.621082125603873,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Farpoint
1193,22.0,1.1,2013,1.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fast & Furious: Showdown
1194,81.0,7.9,2017,7.311510194404932,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fast RMX
1195,61.0,6.008045977011495,2018,5.9864039408866985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fast Striker
1196,63.0,7.3,2015,6.0412192304274415,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Fat Princess Adventures
1197,67.0,7.8,2015,6.455919965827083,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fatal Frame: Maiden of Black Water
1198,74.5,7.1,2019,6.847307250249124,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fate/Extella Link
