,name,platform,metascore,userscore,year,mean_userscore
467,Sniper Elite V2 Remastered,XONE,73,6.5,2019,6.4411764705882355
468,Vaporum,PS4,73,2.4,2019,6.4411764705882355
469,Dead or Alive 6,PC,73,4.9,2019,6.4411764705882355
470,GRID,PS4,73,5.3,2019,6.4411764705882355
471,Warhammer: Chaosbane,XONE,73,6.1,2019,6.4411764705882355
472,The Sojourn,XONE,73,7.1,2019,6.4411764705882355
473,Marvel Ultimate Alliance 3: The Black Order,Switch,73,7.2,2019,6.4411764705882355
474,They Are Billions,XONE,73,6.4411764705882355,2019,6.4411764705882355
475,The Eternal Castle Remastered,PC,73,6.9,2019,6.4411764705882355
476,Cat Quest II: The Lupus Empire,PC,73,6.4,2019,6.4411764705882355
477,Steel Division 2,PC,73,8.0,2019,6.4411764705882355
478,My Time At Portia,PC,73,7.0,2019,6.4411764705882355
479,Song of Horror,PC,73,8.3,2019,6.4411764705882355
480,GreedFall,PC,73,7.8,2019,6.4411764705882355
481,Chocobo's Mystery Dungeon: Every Buddy!,Switch,73,7.6,2019,6.4411764705882355
482,RAGE 2,PC,73,5.4,2019,6.4411764705882355
483,Draugen,PC,73,7.1,2019,6.4411764705882355
484,Muse Dash,Switch,73,7.7,2019,6.4411764705882355
485,My Time At Portia,XONE,73,6.1,2019,6.4411764705882355
486,NBA 2K20,Switch,73,1.4,2019,6.4411764705882355
487,Minoria,PC,73,7.5,2019,6.4411764705882355
488,World War Z,XONE,73,5.7,2019,6.4411764705882355
489,RISE: Race to the Future,Switch,73,5.1,2019,6.4411764705882355
490,Hue,Switch,73,6.4411764705882355,2019,6.4411764705882355
491,Code Vein,PC,72,7.7,2019,6.284999999999999
492,RAGE 2,XONE,72,5.8,2019,6.284999999999999
493,Monster Energy Supercross:  The Official Videogame 2,PS4,72,6.4,2019,6.284999999999999
494,Ghostbusters: The Video Game Remastered,Switch,72,6.7,2019,6.284999999999999
495,The Blackout Club,PS4,72,5.2,2019,6.284999999999999
496,Team Sonic Racing,PS4,72,7.9,2019,6.284999999999999
497,Red Faction: Guerrilla Re-Mars-tered,Switch,72,7.0,2019,6.284999999999999
498,GreedFall,PS4,72,8.0,2019,6.284999999999999
499,Cinders,Switch,72,6.284999999999999,2019,6.284999999999999
500,Assassin's Creed III Remastered,PS4,72,4.4,2019,6.284999999999999
501,Sea of Solitude,XONE,72,6.9,2019,6.284999999999999
502,Grandia HD Collection,Switch,72,6.1,2019,6.284999999999999
503,Planescape: Torment: Enhanced Edition / Icewind Dale: Enhanced Edition,Switch,72,6.284999999999999,2019,6.284999999999999
